DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN A LA COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBILIDAD,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,"PERIODICIDAD DE 
 DIFUSIÓN",ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,OBSERVACIONES,CONSULTADO EN
ESTADÍSTICAS DE LA RED NACIONAL DE INFORMACIÓN,COLOMBIA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,UNIDAD ADMINISTRATIVA PARA LA ATENCIÓN Y REPARACIÓN INTEGRAL A LAS VÍCTIMAS,REGISTRO ADMINISTRATIVO,Brindar cifras estadísticas sobre las victimas del conflicto registradas en el Registro Único de Víctimas.,,,,Hecho victimizante*enfoque diferencial*víctimas por año*lugar de ocurrencia y de declaración*victimas sujeto de atención y víctimas sujeto de atención y reparación integral.,Índice de intensidad,Nacional*Departamental*Municipal,,,,,Mensual,,,Instituciones publicas y privadas * entidades del sector de inclusión social (Instituto Colombiano de Bienestar Familiar * Agencia Nacional para la Superación de la Pobreza Extrema * Unidad para la Atención y Reparación Integral a las Víctimas * Centro de Memoria Historica * Unidad Administrativa Especial para la Consolidación Territorial) * personas naturales * ONG y organizaciones de Cooperación * Derechos humanos(DDHH) * Derecho internacional humanitario (DIH).,,
ESTADÍSTICAS DE LAS ENTIDADES SIN ÁNIMO DE LUCRO (ESALES),COLOMBIA,,,SECTOR PÚBLICO,UNIDAD ADMINISTRATIVA ESPECIAL ORGANIZACIONES SOLIDARIAS,REGISTRO ADMINISTRATIVO,"Presentar estadísticas sobre las entidades del sector solidario registradas en la Red Nacional de Servicios Regístrales, RUES, para el conocimiento del sector solidario y que sirvan como insumo para el diseño y ejecución de políticas, planes y programas del Gobierno.",,,,Tipo de organización jurídica*Actividad económica*Ubicación geográfica*Matrícula mercantil*Razón social*Número de empleos*Municipio comercial* Departamento*Dirección comercial*Teléfono comercial*último año renovado*Fecha matrícula*Estado de matricula,Número Total de entidades que renovaron matricula por tipo de organización*Número Total de Entidades Activas*Número de Empleos reportados,Nacional*Departamental*Municipal,,,,,Mensual,,,"Ciudadanía en General; Ministerio del Trabajo * COLPENSIONES * Servicio Nacional de Aprendizaje (SENA) * SUPERINTENDENCIA DE SUBSIDIO FAMILIAR(SUPERSUBSIDIO) * Servicio de emleo * Programa Nacional de servicio al ciudadano(PNSC) * Colombia Compra Eficiente * Departamento Nacional de Planeación * Fondo de Garantías de Entidades Cooperativas *
 Contraloría Generala de la Nación * Superintendencia de la Economía Solidaria (SUPERSOLIDARIA)",,
"ESTADÍSTICAS DE LAS PERSONAS EN PROCESO DE REINTEGRACION, DESMOVILIZADAS DE GRUPOS AL MARGEN DE LA LEY",COLOMBIA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,AGENCIA COLOMBIANA PARA LA REINTEGRACIÓN (ACR),REGISTRO ADMINISTRATIVO,Contar con información de desmovilizados que ingresan al proceso de reintegración y los beneficios brindados a esta población,,,,Departamento de desmovilización*municipio de desmovilización*ex - grupo*estado civil*edad*nivel educativo*cobertura de los servicios de salud*cobertura de los servicios sicosociales*proyectos productivos otorgados,Personas atendida en el último año por la ACR discriminada por beneficio*cálculo de nivel educativo*asistencias a educación superior*ocupación*acceso a beneficio de inserción económica*estado de las unidades de negocio*condiciones de seguridad*vinculadas o certificadas en acciones de servicio social por línea de acción*población beneficiada por acciones de servicio social*condiciones familiares*condiciones de habitabilidad*tenencia de la vivienda*condiciones de salud*histórico de personas desmovilizadas*situación frente al proceso de reintegración*población que ingresó al proceso discriminada por estado en el proceso de reintegración*caracterización de la población,Nacional*Departamental,SI,PDF,http://www.reintegracion.gov.co/es/agencia/Documentos%20Informes%20de%20gestin/Informe%20de%20Gesti%C3%B3n%20Institucional%20-%202%20Trimestre%202016.pdf#search=estadisticas,31/08/2016,Mensual,jul.-16,,"Dirección General * Dirección Programatica de Reintegración * Oficina Asesora de 
 Planeación * Oficina Jurídica * Oficina de Tecnologías de la Información * Gestión 
 Legal Acceso Y Permanencia * Subdirección de Seguimiento y Subdirección 
 Administraitva Y Financiera * Ministerios de Educación y Salud * Migración Colombia 
  
 Policía * Instituto Colombiano de Bienestar Familiar * Registraduría * Consejo Superior de la Judicatura * Unidad de Victimas * Medicina Legal * Gobernaciones y Alcaldias.",,
ESTADÍSTICAS DE LAS VÍAS DE DOBLE CALZADA Y CALZADA SENCILLA EN CONCESION,COLOMBIA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,AGENCIA NACIONAL DE INFRAESTRUCTURA (ANI),REGISTRO ADMINISTRATIVO,Consolidar información estadística en relación con las vías de doble calzada y calzada sencilla de la red vial nacional concesionada en Colombia.,,,,Año*proyecto*fecha del reporte*kilómetros rehabilitados*kilómetros mantenimiento*Kilometros en calzadas sencilla*kilometros en doble calzada.,Kilómetros doble calzada Construidos Red ANI*Porcentaje de Avance*Kilómetros de Mejoramiento*Porcentaje de Kilómetros Construidos,Nacional,NO,,,,Anual Trimestral,,,"* Usuarios Internos
 *Congreso de la republica
 *Ministerio de transporte
 *Instituto Nacional de Vias (INVIAS)
 *Departamento Nacional de Planeacion
 *Vicepresidencia de la republica
 *Gobernaciones Departamentales
 *Empresas de comunicaion y periodismo
 *Empresas Privadas ( Asfaltos)
 *Público en general.",,
ESTADÍSTICAS DE LESIONES FATALES,COLOMBIA,,,SECTOR PÚBLICO,INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES (MEDICINA LEGAL),REGISTRO ADMINISTRATIVO,Producir información estadística sobre lesiones fatales de causa externa a partir de los datos provenientes de la práctica pericial para apoyar el diseño de las políticas públicas en Colombia,,,,Sociodemográficas (edad*sexo*escolaridad*nivel educativo*estado conyugal*pertenencia a grupos vulnerables*ocupación)*temporales (mes del hecho y rango horario del hecho*día de la semana)*espaciales (departamento y municipio del hecho; zona del hecho)*escenario del hecho (vía pública*vivienda)*manera de muerte (homicidio*suicidio*transporte*accidentales)*mecanismo u objeto vulnerante (arma de fuego*arma blanca*contundente*cortocontundente*biodinámico)*presunto agresor*circunstancia (desastre natural)*probable razón del suicidio*actividad (espacio público durante el tiempo libre)*clase de accidente*condición de la victima (accidente de transporte)*tipo de vehículo objeto de colisión,Homicidios*suicidios*muertes en accidentes de transporte y muertes accidentales por sexo*grupo de edad*escolaridad*estado conyugal*factor de vulnerabilidad*circunstancia del hecho*actividad del hecho*mecanismo causal*diagnóstico topográfico*escenario del hecho*zona del hecho*departamento y municipio del hecho*mes del hecho*día de la semana del hecho*rango de hora del hecho*Homicidios según presunto agresor*Suicidios según razón del suicidio*Accidentes de transporte según condición de la víctima*vehículo y objeto de colisión*servicio del objeto y del vehículo y tipo de choque,Nacional*Departamental*Municipal,,,,,Anual Mensual Trimestral,,,Presidencia de la República * Ministerio del Interior * Fiscalía General de la Nación * Ministerio de protección social * Defensoría del Pueblo * Ministerio de transporte * Procuraduría general de la Nación * Veeduría del país * Instituto Nacional de Medicina Legal y C.F * Ministerio de Defensa Nacional * Congreso de la Republica * Universidades * Comisión Colombiana de Juristas * Asociación de familiares de detenidos desaparecidos ASFADDES * Alcaldías y gobernaciones * Secretarías de Gobierno * Organismos de policía judicial * Personerías * Comunidad en general * Organismos no gubernamentales * Altas Consejerías,,
ESTADÍSTICAS DE LESIONES NO FATALES,COLOMBIA,,,SECTOR PÚBLICO,INSTITUTO NACIONAL DE MEDICINA LEGAL Y CIENCIAS FORENSES (MEDICINA LEGAL),REGISTRO ADMINISTRATIVO,Producir información estadística sobre lesiones no fatales de causa externa a partir de los datos provenientes de la práctica pericial para apoyar el diseño de las políticas públicas en Colombia,,,,Sociodemográficas (edad*sexo*escolaridad*nivel educativo*estado conyugal*pertenencia a grupos vulnerables*ocupación)*temporales (mes del hecho y rango horario del hecho*día de la semana)*espaciales (departamento y municipio del hecho; zona del hecho)*escenario del hecho (vía pública* vivienda)*contexto del hecho*factor desencadenante de la agresión (posible razón de la agresión)*mecanismo causal*presunto agresor*clase de accidente (para accidentes de transporte)*condición de la víctima (para accidentes de transporte)*objeto de colisión (para accidentes de transporte)*tipo de vehículo (para accidentes de transporte),Violencia interpersonal*violencia intrafamiliar*violencia sexual*lesiones en accidentes de transporte y lesiones accidentales por sexo*grupo de edad*escolaridad*estado conyugal*factor de vulnerabilidad*circunstancia del hecho*actividad del hecho*mecanismo causal*diagnóstico topográfico*escenario del hecho*zona del hecho*departamento y municipio del hecho*mes del hecho*día de la semana del hecho*rango de hora del hecho*Violencia interpersonal*intrafamiliar y sexual según presunto agresor*Accidentes de transporte según condición de la víctima*vehículo y objeto de colisión*servicio del objeto y del vehículo y tipo de choque,Nacional*Departamental*Municipal,,,,,Anual Mensual Trimestral,,,Presidencia de la República * Ministerio del Interior * Fiscalía General de la Nación * Ministerio de protección social * Defensoría del Pueblo * Ministerio de transporte * Procuraduría general de la Nación * Veeduría del país * Instituto Nacional de Medicina Legal y C.F * Ministerio de Defensa Nacional * Congreso de la Republica * Universidades * Comisión Colombiana de Juristas * Asociación de familiares de detenidos desaparecidos ASFADDES * Alcaldías y gobernaciones * Secretarías de Gobierno * Organismos de policía judicial * Personerías * Comunidad en general * Organismos no gubernamentales * Altas Consejerías,,
ESTADÍSTICAS DE LICENCIAS DE EXPLOTACIÓN COMERCIAL PARA EMPRESAS DE SERVICIO MARÍTIMO,COLOMBIA,,,SECTOR PÚBLICO,DIRECCIÓN GENERAL MARÍTIMA (DIMAR),REGISTRO ADMINISTRATIVO,Conocer la cantidad de empresas de servicios marítimos autorizadas para trabajar en Colombia,,,,Nombre o razón social*Identificación*Actividad o servicio*Fecha de inscripción*Fecha de vencimiento*Area de jurisdicción*Condiciones particulares,Cantidad de empresas autorizadas por periodo*jurisdicción y actividad,Nacional*Regional,,,,,Anual,,,"-Ministerio de transporte
  -Ministerio de Comercio * Industria y Turismo
 -Alcaldías Municipales
  -Gobernaciones 
 -Departamentos Costeros
 -Agencia Nacional de Infraestructura (ANI)
 -Departamento Nacional de Planeacion (DNP)
 -Consultores en general
 -Gremio marítimo",,
ESTADÍSTICAS DE LLEGADA DE PASAJEROS DE TRANSPORTE INTERMUNICIPAL,COLOMBIA,,,SECTOR PÚBLICO,"MINISTERIO DE COMERCIO, INDUSTRIA Y TURISMO",REGISTRO ADMINISTRATIVO,Conocer el número de personas que se desplazan al interior del país por vía terrestre,,,,Departamento*Ciudad*Número de personas que salen de las terminales*Mes*Año*Número de salidas de vehículos,Total salida pasajeros nacional*Total salida pasajeros departamental*Comparación de periodos acumulados (%),Nacional,,,,,Mensual,,,"Internos: Oficina de Estudios Económicos * Dirección de Análisis Sectorial * Viceministerio de Turismo
 Externos: Gremios: ADITT * Acoltés * Academia",,
ESTADÍSTICAS DE LOS ESTADOS FINANCIEROS DE LAS ENTIDADES SUPERVISADAS,COLOMBIA,,,SECTOR PÚBLICO,SUPERINTENDENCIA FINANCIERA DE COLOMBIA,REGISTRO ADMINISTRATIVO,Revisar y publicar los estados financieros de las entidades supervisadas de acuerdo con la fecha de corte establecido para cada tipo de entidad,,,,Balance general*resultado*activos*pasivos*patrimonio,Aseguradoras(principales cuentas de aseguradoras e intermediarios de seguros)*Establecimiento de crédito: indicadores gerenciales*informe de tarjeta de crédito y debito*distribución de captaciones por rango e instrumentos financieros*tasas de captación por plazos y montos*tasas de referencia mensual*cosechas*revolución de la cartera de créditos*evolución del índice de solvencia*portafolio de inversiones*principales variables financieras de crédito*FPC: margen de solvencia*indicadores financieros*principales variables cuentas de las FPC*Proveedores de infraestructuras principales variables cuentas*Sociedades fiduciarias:principales variables cuentas* Sociedades del mercado publico de valores: principales variables cuentas*Intermediarios de valores y otros agentes: información financiera comparativa mensual*Portafolio de inversión: Estados financieros cartera colectivas administradas por fiduciarias,Nacional,,,,,Mensual,,,Ministerio de Hacienda y Crédito Público * Contraloría General de la República * Dane * ASOBANCARIA * GREMIOS * BANCO DE LA REPÙBLICA * FOGAFIN,,
ESTADÍSTICAS DE LOS PRESTADORES DE SERVICIOS TURISTICOS,COLOMBIA,,,SECTOR PÚBLICO,"MINISTERIO DE COMERCIO, INDUSTRIA Y TURISMO",ENCUESTA POR MUESTREO,Producir estadísticas de la Caracterización de la industria turística de cada uno de los departamentos.,,,,Número de establecimientos*Número de habitaciones*Número de plazas/cama*Total establecimientos de alimentación*Total número de mesas*Total número de asientos*Capacidad máxima en platos*Total platos servidas efectivamente*Capacidad máxima en unidades de comida*Total unidades de comidas servidas efectivamente* Total vehículos interdepartamentales*Total vehículos intermunicipales*Total vehículos municipales*Total asientos disponibles*Total pasajeros transportados*Total vehículos disponibles para alquiler*Total planes vendidos,Tasa de ocupación/habitaciones*Tasa de ocupación/plaza – cama*Duración media de la estancia*Capacidad disponible (plazas-cama por 1000 Hab*Total platos servidos/Capacidad máxima en platos*Total unidades servidas/Capacidad máxima en unidades*Tasa de utilización de la capacidad*Número de vehículos-días alquilados,Municipal,,,,,Mensual,,,Publico en general,,
"ESTADÍSTICAS DE MATRÍCULAS DE EDUCACIÓN PREESCOLAR, BÁSICA Y MEDIA",COLOMBIA,4 EDUCACIÓN DE CALIDAD,,SECTOR PÚBLICO,MINISTERIO DE EDUCACIÓN NACIONAL,REGISTRO ADMINISTRATIVO,"Contar con información acerca de la estadistica de los establecimientos educativos, docentes y estudantes atendidos en el sector oficial y no oficial en educación preescolar, basica y media",,,,Variables de identificación: población matriculada por identificación del alumno*ubicación geográfica del alumno*género*establecimiento educativo*sede*jornada*grados*grupo*grupos étnicos según autoreconocimiento*estudiantes en condición de discapacidad y capacidades excepcionales*víctimas del conflicto según autoreconocimiento* educación de adultos y modelos flexibles*Variables de análisis: matricula del alumno (oficial-5A y no oficial-6A)*Discriminación de las variables: sector (oficial y no oficial)* zona (urbana y rural).,Indicadores principales: Población cubierta y Tasas de Cobertura (Neta y Bruta)*población por fuera del sistema*eficiencia interna (tasa de repitencia*deserción*reprobación y aprobación)*relación alumno/docente*entre otros,Nacional*Departamental*Municipal,,,,,Anual,,,"Secretarías de Educación de Entidades Territoriales Certificadas
 Entidades del orden nacional y regional
 Comunidad educativa en general",,
ESTADÍSTICAS DE MATRÍCULAS OTORGADAS A NAVES Y ARTEFACTOS ACTUALES,COLOMBIA,4 EDUCACIÓN DE CALIDAD,,SECTOR PÚBLICO,DIRECCIÓN GENERAL MARÍTIMA (DIMAR),REGISTRO ADMINISTRATIVO,Conocer el comportamiento de registro de naves y artefactos navales en Colombia,,,,Nombre de la embarcación*Número de registro o matrícula*Catalogación de la neve*Arqueo de la embarcación*Eslora de la embarcación-fecha de registro,Cantidad de naves y artefactos registrados,Nacional,,,,,Semestral,,,"-Ministerio de transporte
  -Ministerio de Comercio * Industria y Turismo
 -Alcaldías Municipales
  -Gobernaciones 
 -Departamentos Costeros
 -Agencia Nacional de Infraestructura (ANI)
 -Departamento Nacional de Planeacion (DNP)
 -Consultores en general
 -Gremio marítimo",,
ESTADÍSTICAS DE MONITOREO DE LA COBERTURA DE LA TIERRA DE LA AMAZONÍA COLOMBIANA,COLOMBIA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SOCIEDAD CIVIL,INSTITUTO AMAZÓNICO DE INVESTIGACIONES CIENTÍFICAS (SINCHI),CENSO,Generar información sobre el monitoreo en los cambios multitemporales de las coberturas de la tierra de la Amazonia colombiana a escala 1:100.000,,,,Áreas por cada tipo de cobertura*áreas de ganancia de cada cobertura*áreas de pérdida de cada cobertura*áreas de cada cobertura en cada Unidad Espacial de Referencia (UER)*tasa media anual de perdida de bosques*tasa media anual de praderización*tasa media anual de degradación de bosques*área de la frontera agropecuaria,Áreas de cada cobertura en cada Unidad Espacial de Referencia (UER)*Tasa media anual de perdida de bosques*Tasa media anual de praderización*Tasa media anual de degradación de bosques*Área de la frontera agropecuaria,Regional*Departamental*Municipal,,,,,Bienal,,,"En la misma entidad: Laboratorio Sistema de información geográfica (SIG) y Sistema de referencia (SR); Dinámicas socioambientales; sostenibildiad e intervención. 
 
 Otras entidades: Ministerio de Ambiente y Desarrollo Sostenible-MADS y Ministerio de Agricultura y Desarrollo Rural-MADR * Contralorias departamentales * Corporaciones autónomas regionales y de desarrollo sostenible CARS_CDS * Universidad Nacional; Pontificia Universidad Javeriana * Universidad Distrital * Instuto de Meteorologia * Hidrologia y Estudios Ambientales- IDEAM; Gobernaciones * Alcaldias y Gremios.",,
